AGENSI_xn,organization_id,name
Sandakan Municipal Council,#N/A,"Sandakan Municipal Council (Discounts of Rates) By-laws, 1987"
Sandakan Municipal Council,#N/A,Sandakan Municipal Council (Earthworks) By-laws 1981
Sandakan Municipal Council,#N/A,"Sandakan Municipal Council (General) By-laws, 1955"
Sandakan Municipal Council,#N/A,"Sandakan Municipal Council (Offensive and Dangerous Trades) By-laws, 1985"
Sandakan Municipal Council,#N/A,Sandakan Municipal Council (Provision of Parking Places (Coupon Parking) By-laws 2017
Sandakan Municipal Council,#N/A,"Sandakan Municipal Council (Pub and Bar Lounge Premises) By-laws, 1984"
Sandakan Municipal Council,#N/A,"Sandakan Municipal Council (Registration and Control of Dogs) By-laws, 1964"
Sandakan Municipal Council,#N/A,"Sandakan Municipal Council (Revocation) By-laws, 1984"
Sandakan Municipal Council,#N/A,Sandakan Municipal Council Instruments 1983
Sandakan Municipal Council,#N/A,"Sandakan Municipal Council Petroleum (Public Stores) By-laws, 1956"
Sandakan Municipal Council,#N/A,"Sandakan Municipal Council Rates Orders, 1987"
Sandakan Municipal Council,#N/A,"Sanitary Boards Buildings By-laws, 1952"
Tawau Municipal Council,#N/A,"Sanitary Boards Buildings By-laws, 1952"
Tawau Municipal Council,#N/A,"Tawau Municipal Council (Advertisements) By-laws, 1967"
Tawau Municipal Council,#N/A,"Tawau Municipal Council (Cess and Cocoa) (Suspension) Order, 1984"
Tawau Municipal Council,#N/A,"Tawau Municipal Council (Conservancy and Hygiene) By-laws, 1984"
Tawau Municipal Council,#N/A,"Tawau Municipal Council (Earthworks) By-laws, 1982"
Tawau Municipal Council,#N/A,"Tawau Municipal Council (Election Advertisements) By-laws, 1990"
Tawau Municipal Council,#N/A,"Tawau Municipal Council (General) By-laws,1956"
Tawau Municipal Council,#N/A,"Tawau Municipal Council (Parking Places) By-laws, 1982"
Tawau Municipal Council,#N/A,"Tawau Municipal Council (Planting) By-laws, 1982"
Tawau Municipal Council,#N/A,"Tawau Municipal Council (Pub and Bar Lounge Premises) By-laws, 1984"
Tawau Municipal Council,#N/A,"Tawau Municipal Council (Registration and Control of Dogs) By-laws, 1963"
Tawau Municipal Council,#N/A,"Tawau Municipal Council (Revocation) By-laws, 1983"
Tawau Municipal Council,#N/A,"Tawau Municipal Council (Sewerage) By-laws, 1960"
Tawau Municipal Council,#N/A,"Tawau Municipal Council (Street and Public places) By-laws, 1983"
Tawau Municipal Council,#N/A,Tawau Municipal Council Instrument 1983
Tawau Municipal Council,#N/A,Tawau Municipal Council Rates Order 2016
Kudat Town Board,#N/A,"Kudat Town Board (Advertisements) By-laws, 1965"
Kudat Town Board,#N/A,"Kudat Town Board (Building) By-laws, 1965"
Kudat Town Board,#N/A,"Kudat Town Board (Cess on Cocoa) (Suspension) Order, 1984"
Kudat Town Board,#N/A,"Kudat Town Board (Conservancy and Hygiene) By-laws, 1984"
Kudat Town Board,#N/A,"Kudat Town Board (Control of Animals) By-laws, 1981"
Kudat Town Board,#N/A,"Kudat Town Board (Dairies and Dairymen) By-laws, 1965"
Kudat Town Board,#N/A,"Kudat Town Board (Dealing In Scrap) By-laws, 1965"
Kudat Town Board,#N/A,"Kudat Town Board (Discount of Rates) By-laws, 1988"
Kudat Town Board,#N/A,"Kudat Town Board Election Advertisements) By-laws, 1990"
Kudat Town Board,#N/A,"Kudat Town Board (Food and Eating Premises) By-laws, 1965"
Kudat Town Board,#N/A,"Kudat Town Board (Hairdressers) By-laws, 1965"
Kudat Town Board,#N/A,"Kudat Town Board (Hawkers) By-laws, 1965"
Kudat Town Board,#N/A,"Kudat Town Board (Hotel and Lodging Houses) By-laws, 1965"
Kudat Town Board,#N/A,"Kudat Town Board (Interest on Unpaid Rates) By-laws, 1984"
Kudat Town Board,#N/A,"Kudat Town Board (Laundries) By-laws, 1965"
Kudat Town Board,#N/A,"Kudat Town Board (Liquors) By-laws, 1967"
Kudat Town Board,#N/A,"Kudat Town Board (Markets) By-laws, 1965"
Kudat Town Board,#N/A,"Kudat Town Board (Offensive Trades) By-laws, 1965"
Kudat Town Board,#N/A,"Kudat Town Board (Planting) By-laws, 1982"
Kudat Town Board,#N/A,"Kudat Town Board (Slaughter-houses) By-laws, 1965"
Kudat Town Board,#N/A,"Kudat Town Board (Street and Public Places) By-laws, 1965"
Kudat Town Board,#N/A,"Kudat Town Board (Tamus) By-laws, 1961"
Kudat Town Board,#N/A,Kudat Town Board Instruments 1982
Kudat Town Board,#N/A,Kudat Town Board Rates Order 2018
Kudat Town Board,#N/A,Kudat Town Board Slaughter-houses Charges 1983
Beaufort District Council,#N/A,"Beaufort District Council (Advertisements) By-laws, 1964"
Beaufort District Council,#N/A,"Beaufort District Council (Cess on Cocoa) (Suspension) Order, 1984"
Beaufort District Council,#N/A,"Beaufort District Council (Conservancy and Hygiene) By-laws, 1984"
Beaufort District Council,#N/A,"Beaufort District Council (Dairies and Dairymen) By-laws, 1964"
Beaufort District Council,#N/A,"Beaufort District Council (Dealing in Scrap) By-laws, 1964"
Beaufort District Council,#N/A,"Beaufort District Council (Food and Eating Premises) By-laws, 1964"
Beaufort District Council,#N/A,"Beaufort District Council (Hawkers) By-laws, 1964"
Beaufort District Council,#N/A,"Beaufort District Council (Hotels and Lodging Houses) By-laws,1964"
Beaufort District Council,#N/A,"Beaufort District Council (Laundries) By-laws,1964"
Beaufort District Council,#N/A,"Beaufort District Council (Liquors) By-laws, 1967"
Beaufort District Council,#N/A,"Beaufort District Council (Markets) B-laws, 1964 G.N.L 16/1965"
Beaufort District Council,#N/A,"Beaufort District Council Offensive Trades) By-laws, 1981"
Beaufort District Council,#N/A,"Beaufort District Council (Planting) By-laws, 1982"
Beaufort District Council,#N/A,"Beaufort District Council (Registration and Control of Dogs), By-laws, 1981"
Beaufort District Council,#N/A,"Beaufort District Council (Slaughter-house) By-laws, 1964"
Beaufort District Council,#N/A,"Beaufort District Council (Street and Public Places) By-laws, 1964"
Beaufort District Council,#N/A,"Beaufort District Council (Tamus) By-laws, 1959"
Beaufort District Council,#N/A,"Beaufort District Council (Townships) (Building) By-laws, 1960"
Beaufort District Council,#N/A,Beaufort District Council Instruments 1961
Beaufort District Council,#N/A,Beaufort District Council Slaughter-house Charges G.N.L.9/1965
Beaufort District Council,#N/A,Beaufort District Council Standing Orders 2014
Kota Marudu District Council,#N/A,"Kota Marudu District Council Instrument, 1983"
Kota Marudu District Council,#N/A,Kota Marudu District Council Standing Orders 2014
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Anti-Litter) By-laws, 1972"
Lahad Datu District Council,#N/A,[Repealed by Uniform (Anti-litter) By-laws 2010]
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Building) By-laws, 1982"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Cess and Cocoa) (Suspension) Order, 1984"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Conservancy and Hygiene) By-laws, 1984"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Control of Animals) By-laws, 1984"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Dealing in Scrap) By-laws, 1991"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Discount of Rates) By-laws, 1991"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Earthworks) By-laws, 1984"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Election Advertisements) By-laws, 1991"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Food and Eating Premises) By-laws, 1972"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Hawkers) By-laws, 1972"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Hotel and Lodging Houses) By-laws,1972"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Laundries) By-laws, 1972"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Markets) By-laws, 1972"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Offensive Trades) By-laws, 1972"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Parking Places) By-laws, 1991"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Pub and bar Lounge Premises) by-laws, 1986"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Registration and Control of Dogs) By-laws, 1972"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Slaughter-houses) By-laws, 1972"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Street and Public Places) By-laws, 1972"
Lahad Datu District Council,#N/A,"Lahad Datu District Council (Tamu) By-laws, 1991"
Lahad Datu District Council,#N/A,Lahad Datu District Council Instruments 1961
Lahad Datu District Council,#N/A,Lahad Datu District Council Slaughter-houses Charges 1983
Beluran District Council,#N/A,Beluran District Council Standing Orders 2014
Kota Belud District Council,#N/A,"Kota Belud District Council (Advertisements) By-laws, 1964"
Kota Belud District Council,#N/A,"Kota Belud District Council (Cattle Auction) By-laws, 1958"
Kota Belud District Council,#N/A,"Kota Belud District Council (Cess on Cocoa) (Suspension) Order, 1984"
Kota Belud District Council,#N/A,"Kota Belud District Council (Conservancy and Hygiene) By-laws, 1984"
Kota Belud District Council,#N/A,"Kota Belud District Council (Control of Animals) By-laws, 1986"
Kota Belud District Council,#N/A,"Kota Belud District Council (Grazing Reserves) By-laws, 1956"
Kota Belud District Council,#N/A,"Kota Belud District Council (Hawkers) By-laws, 1964"
Kota Belud District Council,#N/A,Kota Belud District Council (Hotels and Lodging Houses) By-laws.1964
Kota Belud District Council,#N/A,"Kota Belud District Council (Laundries) By-laws, 1964"
Kota Belud District Council,#N/A,"Kota Belud District Council (Liquors) By-laws, 1967"
Kota Belud District Council,#N/A,"Kota Belud District Council (Markets) By-laws, 1964"
Kota Belud District Council,#N/A,"Kota Belud District Council (Miscellaneous Licenses) By-laws, 1964"
Kota Belud District Council,#N/A,"Kota Belud District Council Offensive Trades) By-laws, 1964"
Kota Belud District Council,#N/A,"Kota Belud District Council (Pig Control) By-laws, 1956"
Kota Belud District Council,#N/A,"Kota Belud District Council (Planting) By-laws, 1982"
Kota Belud District Council,#N/A,"Kota Belud District Council (Slaughter-houses) By-laws, 1981"
Kota Belud District Council,#N/A,"Kota Belud District Council (Streets and Public Places) by-laws, 1964"
Kota Belud District Council,#N/A,"Kota Belud District Council (Tamus) By-laws, 1954"
Kota Belud District Council,#N/A,"Kota Belud District Council (Township) (Building) By-laws, 1958"
Kota Belud District Council,#N/A,Kota Belud District Council Instruments 1961
Kota Belud District Council,#N/A,Kota Belud District Council Slaughter-houses Charges 1981
Kota Belud District Council,#N/A,"Sorob Cattle farm by-laws,1953"
Kuala Penyu District,#N/A,"Kuala Penyu District Council (Advertisements) By-laws, 1981"
Kuala Penyu District,#N/A,"Kuala Penyu District Council (Cess on Cocoa) (Suspension) Order, 1984"
Kuala Penyu District,#N/A,"Kuala Penyu District Council (Conservancy and Hygiene) By-laws, 1984"
Kuala Penyu District,#N/A,"Kuala Penyu District Council (Control of Animals) By-laws, 1987"
Kuala Penyu District,#N/A,"Kuala Penyu District Council (Dealing in Scrap) By-laws, 1981"
Kuala Penyu District,#N/A,"Kuala Penyu District Council (Food and Eating Premises) By-laws, 1981"
Kuala Penyu District,#N/A,"Kuala Penyu District Council (Hairdressers) By-laws, 1981"
Kuala Penyu District,#N/A,"Kuala Penyu District Council (Hawkers) By-laws, 1981"
Kuala Penyu District,#N/A,"Kuala Penyu District Council (Hotel and Lodging Houses) By-laws, 1981"
Kuala Penyu District,#N/A,"Kuala Penyu District Council Laundries) By-laws, 1981"
Kuala Penyu District,#N/A,"Kuala Penyu District Council (Markets) By-laws, 1981"
Kuala Penyu District,#N/A,"Kuala Penyu District Council (Offensive Trades) By-laws, 1981"
Kuala Penyu District,#N/A,"Kuala Penyu District Council (Pig Control) By-laws, 1961"
Kuala Penyu District,#N/A,"Kuala Penyu District Council (Planting) By-laws, 1982"
Kuala Penyu District,#N/A,"Kuala Penyu District Council (Registration and Control of Dogs) By-laws, 1987"
Kuala Penyu District,#N/A,"Kuala Penyu District Council (Slaughter-houses) By-laws, 1981"
Kuala Penyu District,#N/A,"Kuala Penyu District Council (Streets and Public Places) By-laws, 1981"
Kuala Penyu District,#N/A,"Kuala Penyu District Council (Tamus) By-laws, 1981"
Kuala Penyu District,#N/A,Kuala Penyu District Council Instruments 1961
Kuala Penyu District,#N/A,Kuala Penyu District Council Rates Order 2018
Kuala Penyu District,#N/A,Kuala Penyu District Council Slaughter-houses Charges 1981
Kuala Penyu District,#N/A,Kuala Penyu District Council Standing Orders 2014
Kuala Penyu District,#N/A,"Kuala Penyu Township Authority (Building) By-laws,1960"
Penampang District Council,#N/A,"Penampang District Council (Advertisements) By-laws, 1978"
Penampang District Council,#N/A,"Penampang District Council (Anti-Litter) By-laws,1984"
Penampang District Council,#N/A,[Repealed by Uniform (Anti-litter) By-laws 2010]
Penampang District Council,#N/A,"Penampang District Council (Conservancy and Hygiene) By-laws, 1984"
Penampang District Council,#N/A,"Penampang District Council (Control of Animals) By-laws, 1987"
Penampang District Council,#N/A,"Penampang District Council (Dairies and Dairymen) By-laws, 1978"
Penampang District Council,#N/A,"Penampang District Council (Dealing in Scrap) By-laws, 1978"
Penampang District Council,#N/A,"Penampang District Council (Food and Eating Premises) By-laws, 1978"
Penampang District Council,#N/A,"Penampang District Council (Hairdressers) By-laws, 1978"
Penampang District Council,#N/A,(Repealed by uniform (Beauty and health Care Centre) By-laws 2014
Penampang District Council,#N/A,"Penampang District Council (Hawkers) By-laws, 1978"
Penampang District Council,#N/A,"Penampang District Council (Hotels and Lodging Houses) By-laws, 1978"
Penampang District Council,#N/A,"Penampang District Council (Interest on Unpaid Rates) By-laws, 1987"
Penampang District Council,#N/A,"Penampang District Council (Laundries) By-laws, 1978"
Penampang District Council,#N/A,"Penampang District Council (Liquors) By-laws, 1967"
Penampang District Council,#N/A,"Penampang District Council (Markets) By-laws, 1978"
Penampang District Council,#N/A,"Penampang District Council (Offensive Trades) By-laws, 1978"
Penampang District Council,#N/A,"Penampang District Council (Provision of Parking Places)(Coupon Parking) By-laws, 2017"
Penampang District Council,#N/A,"Penampang District Council (Pub and Lounge Premises) By-laws, 1987"
Penampang District Council,#N/A,"Penampang District Council (Public Weigh-Bridge and Weighing Machines) By-laws, 1978"
Penampang District Council,#N/A,"Penampang District Council (Registration and Control of Dogs) By-laws, 1987"
Penampang District Council,#N/A,"Penampang District Council (Sale of Petrol) By-laws, 1978"
Penampang District Council,#N/A,"Penampang District Council (Slaughter-houses) By-laws, 1978"
Penampang District Council,#N/A,"Penampang District Council (Street and Public Places) By-laws, 1978"
Penampang District Council,#N/A,"Penampang District Council (Tamus) By-laws, 1978"
Penampang District Council,#N/A,Penampang District Council Instrument 1961
Penampang District Council,#N/A,Penampang District Council Standing Orders 2014
Papar District Council,#N/A,"Papar (Townships)(General) By-laws, 1956"
Papar District Council,#N/A,"Papar District Council (Advertisement) By-laws, 1980"
Papar District Council,#N/A,"Papar District Council (Anti-Litter) By-laws, 1984"
Papar District Council,#N/A,[Repeald by Uniform (Anti-litter) By-laws 2010]
Papar District Council,#N/A,"Papar District Council (Building) By-laws,1977"
Papar District Council,#N/A,"Papar District Council (Cess on Cocoa Suspension) Order, 1984"
Papar District Council,#N/A,"Papar District Council (Conservancy and Hygiene) By-laws, 1984"
Papar District Council,#N/A,"Papar District Council (Control of Animals) By-laws, 1980"
Papar District Council,#N/A,"Papar District Council (Food and Eating Premises) By-laws, 1977"
Papar District Council,#N/A,"Papar District Council (Hairdressers) By-laws, 1977"
Papar District Council,#N/A,(Repealed by Uniform (Beauty and Health Care Centre) By-laws 2014
Papar District Council,#N/A,"Papar District Council (Hawkers) By-laws, 1977"
Papar District Council,#N/A,"Papar District Council (Hotel and Lodging Houses) By-laws, 1977"
Papar District Council,#N/A,"Papar District Council (Liquors) By-laws, 1968"
Papar District Council,#N/A,"Papar District Council (Markets) By-laws, 1977"
Papar District Council,#N/A,"Papar District Council (Offensive Trades) By-laws, 1977"
Papar District Council,#N/A,"Papar District Council (Pig Control) By-laws, 1957"
Papar District Council,#N/A,"Papar District Council (Planting) By-laws, 1982"
Papar District Council,#N/A,"Papar District Council (Public Weigh Bridge and Weighing Machines) By-laws, 1980"
Papar District Council,#N/A,"Papar District Council (Slaughter-houses) By-laws, 1977"
Papar District Council,#N/A,"Papar District Council (Streets and Public Places) By-laws, 1977"
Papar District Council,#N/A,"Papar District Council (Tamus) By-laws, 1977"
Papar District Council,#N/A,"Papar District Council (Use of Premises) By-laws, 1985"
Papar District Council,#N/A,Papar District Council Instrument 1961
Papar District Council,#N/A,"Papar District Council Order, 1983"
Papar District Council,#N/A,Papar District Council Standing Orders 2015
Tambunan District Council,#N/A,"Tambunan District Council (Advertisements) By-laws, 1982"
Tambunan District Council,#N/A,"Tambunan District Council (Anti-Litter) By-laws, 1990"
Tambunan District Council,#N/A,[Repealed by Uniform (Anti-Litter) By-laws 2010]
Tambunan District Council,#N/A,"Tambunan District Council (Conservancy and hygiene) By-laws, 1965"
Tambunan District Council,#N/A,"Tambunan District Council (Control of Animals) By-laws, 1982"
Tambunan District Council,#N/A,"Tambunan District Council (Dealing in Scrap) By-laws, 1982"
Tambunan District Council,#N/A,"Tambunan District Council (Food and Eating Premises) By-laws, 1982"
Tambunan District Council,#N/A,"Tambunan District Council (Hairdressers) By-laws, 1982"
Tambunan District Council,#N/A,(Repealed by Uniform (Beauty and Health Care Centre) By-laws 2014
Tambunan District Council,#N/A,"Tambunan District Council (Hawkers) By-laws, 1982"
Tambunan District Council,#N/A,"Tambunan District Council (Hotel and Lodging Houses) By-laws, 1982"
Tambunan District Council,#N/A,"Tambunan District Council (Laundries) By-laws, 1982"
Tambunan District Council,#N/A,"Tambunan District Council (Markets) By-laws, 1982"
Tambunan District Council,#N/A,"Tambunan District Council (Offensive Trades) By-laws, 1982"
Tambunan District Council,#N/A,"Tambunan District Council (Pig Control) By-laws, 1964"
Tambunan District Council,#N/A,"Tambunan District Council (Registration and Control of Dogs) By-laws, 1990"
Tambunan District Council,#N/A,"Tambunan District Council (Revocation) By-laws, 1982"
Tambunan District Council,#N/A,"Tambunan District Council (Slaughter-houses) By-laws, 1982"
Tambunan District Council,#N/A,"Tambunan District Council (Streets and Public Places) By-laws, 1982"
Tambunan District Council,#N/A,"Tambunan District Council (Tamu) By-laws, 1966"
Tambunan District Council,#N/A,Tambunan District Council Instrument 1961
Tambunan District Council,#N/A,Tambunan District Council Rates Order 2017
Tambunan District Council,#N/A,Tambunan District Council Rates Order 2018
Tambunan District Council,#N/A,Tambunan District Council Slaughter-houses Charges 1982
Tambunan District Council,#N/A,Tambunan District Council Standing Orders 2014
Tenom District Council,#N/A,"Tenom District Council (Advertisements) By-laws, 1969"
Tenom District Council,#N/A,"Tenom District Council (Anti-Litter) By-laws, 1983"
Tenom District Council,#N/A,[Repealed by Uniform (Anti-litter) By-laws 2010]
Tenom District Council,#N/A,"Tenom District Council (Cess on Cocoa) (Suspension) Order, 1984"
Tenom District Council,#N/A,"Tenom District Council (Conservancy and hygiene) By-laws, 1984"
Tenom District Council,#N/A,"Tenom District Council (Food and Eating Premises) By-laws, 1972"
Tenom District Council,#N/A,"Tenom District Council (Hairdressers) By-laws, 1972"
Tenom District Council,#N/A,(Repealed by Uniform (Beauty and Health Care Centre) By-laws 2014
Tenom District Council,#N/A,"Tenom District Council (Hawkers) By-laws, 1971"
Tenom District Council,#N/A,"Tenom District Council (Hotels and Lodging Houses) By-laws, 1971"
Tenom District Council,#N/A,"Tenom District Council (Liquors) By-laws, 1967"
Tenom District Council,#N/A,"Tenom District Council (Markets) By-laws, 1971"
Tenom District Council,#N/A,"Tenom District Council (Planting) By-laws, 1982"
Tenom District Council,#N/A,"Tenom District Council (Registration and Control of Dogs) By-laws,1966"
Tenom District Council,#N/A,"Tenom District Council (Streets and Public Places) By-laws, 1972"
Tenom District Council,#N/A,"Tenom District Council (Tamu) By-laws, 1960"
Tenom District Council,#N/A,"Tenom District Council (Township) (Building) By-laws, 1961"
Tenom District Council,#N/A,Tenom District Council instrument 1961
Tenom District Council,#N/A,"Tenom District Council Land Cess Order, 1987"
Tenom District Council,#N/A,Tenom District Council Standing Orders 2014
Tuaran District Council,#N/A,"Pig Control (Tuaran Area) By-laws, 1956"
Tuaran District Council,#N/A,"Tuaran District Council (Advertisements) By-laws, 1965"
Tuaran District Council,#N/A,"Tuaran District Council (Cess on Cocoa) (Suspension) Order, 1984"
Tuaran District Council,#N/A,"Tuaran District Council (Conservancy and Hygiene) By-laws, 1984"
Tuaran District Council,#N/A,"Tuaran District Council (Dairies and Dairymen) By-laws, 1965"
Tuaran District Council,#N/A,"Tuaran District Council (Dealing in Scrap) By-laws, 1965"
Tuaran District Council,#N/A,"Tuaran District Council (Food and Eating Premises) By-laws, 1987"
Tuaran District Council,#N/A,"Tuaran District Council (Hairdressers) By-laws, 1965"
Tuaran District Council,#N/A,(Repealed by Uniform (Beauty and Health Care Centre) By-laws 2014
Tuaran District Council,#N/A,"Tuaran District Council (Hawkers) By-laws, 1987"
Tuaran District Council,#N/A,"Tuaran District Council (Hotels and Lodging Houses) By-laws, 1965"
Tuaran District Council,#N/A,"Tuaran District Council (Laundries) By-laws, 1965"
Tuaran District Council,#N/A,"Tuaran District Council (Liquors) By-laws, 1966"
Tuaran District Council,#N/A,"Tuaran District Council (Markets) By-laws, 1987"
Tuaran District Council,#N/A,"Tuaran District Council (Offensive Trades) By-laws, 1965"
Tuaran District Council,#N/A,"Tuaran District Council (Pig Control) By-laws, 1977"
Tuaran District Council,#N/A,"Tuaran District Council (Planting) By-laws, 1983"
Tuaran District Council,#N/A,"Tuaran District Council (Slaughter-houses), 1965"
Tuaran District Council,#N/A,"Tuaran District Council (Streets and Public Places) By-laws, 1965"
Tuaran District Council,#N/A,"Tuaran District Council (Tamu) By-laws, 1958"
Tuaran District Council,#N/A,"Tuaran District Council (Townships) (Building) By-laws, 1961"
Tuaran District Council,#N/A,Tuaran District Council Instrument 1961
Tuaran District Council,#N/A,Tuaran District Council Standing Orders 2014
Ranau District Council,#N/A,"Pig Control (Ranau Area) By-laws, 1956"
Ranau District Council,#N/A,"Ranau (Soil Erosion Prevention) By-laws, 1954"
Ranau District Council,#N/A,"Ranau District Council (Advertisements) By-laws, 1966"
Ranau District Council,#N/A,"Ranau District Council (Anti-Litter) By-laws, 1984"
Ranau District Council,#N/A,[Repealed by Uniform (Anti-litter) By-laws 2010]
Ranau District Council,#N/A,"Ranau District Council (building) By-laws, 1962"
Ranau District Council,#N/A,"Ranau District Council (Cess on Cocoa) (Suspension) By-laws, 1984"
Ranau District Council,#N/A,"Ranau District Council (Conservancy and Hygiene) By-laws, 1984"
Ranau District Council,#N/A,"Ranau District Council (Control of Animals) By-laws, 1980"
Ranau District Council,#N/A,"Ranau District Council (Dairies and Dairymen) By-laws, 1966"
Ranau District Council,#N/A,"Ranau District Council (Dealing in Scrap) By-laws, 1966"
Ranau District Council,#N/A,"Ranau District Council (Food and Eating Premises) By-laws, 1966"
Ranau District Council,#N/A,"Ranau District Council (Hairdressers) By-laws, 1966"
Ranau District Council,#N/A,(Repealed by Uniform (Beauty and Health Care Centre) By-laws 2014
Ranau District Council,#N/A,"Ranau District Council (Hawkers) By-laws, 1966"
Ranau District Council,#N/A,"Ranau District Council (Hotel and Lodging Houses) By-laws, 1966"
Ranau District Council,#N/A,"Ranau District Council (Land Cess) By-laws, 1987"
Ranau District Council,#N/A,"Ranau District Council (Laundries) By-laws, 1966"
Ranau District Council,#N/A,"Ranau District Council (Liquors) By-laws, 1967"
Ranau District Council,#N/A,"Ranau District Council (Markets) By-laws, 1963"
Ranau District Council,#N/A,"Ranau District Council (Offensive Trades) By-laws, 1966"
Ranau District Council,#N/A,"Ranau District Council (Parking Places) By-laws, 1989"
Ranau District Council,#N/A,"Ranau District Council (Planting) By-laws, 1982"
Ranau District Council,#N/A,"Ranau District Council (Registration and Control of Dogs) By-laws, 1972"
Ranau District Council,#N/A,"Ranau District Council (Slaughterhouses) By-laws, 1966"
Ranau District Council,#N/A,"Ranau District Council (Street and Public Places) By-laws, 1966"
Ranau District Council,#N/A,"Ranau District Council (Tamu) By-laws, 1962"
Ranau District Council,#N/A,Ranau District Council Instrument 1961
Ranau District Council,#N/A,"Ranau District Council Slaughter-houses Charges, 1982"
Semporna District Council,#N/A,"Semporna District Council (Advertisements) By-laws, 1981"
Semporna District Council,#N/A,"Semporna District Council (Cess on Cocoa) (Suspension) Order, 1984"
Semporna District Council,#N/A,"Semporna District Council (Conservancy and Hygiene) By-laws, 1981"
Semporna District Council,#N/A,"Semporna District Council (Control of Animals) By-laws, 1981"
Semporna District Council,#N/A,"Semporna District Council (Dealing in Scrap) By-laws, 1981"
Semporna District Council,#N/A,"Semporna District Council (Food and Eating Premises) By-laws, 1981"
Semporna District Council,#N/A,"Semporna District Council (Hairdressers) By-laws, 1981"
Semporna District Council,#N/A,(Repealed by Uniform (Beauty and Health Care Centre) By-laws 2014
Semporna District Council,#N/A,"Semporna District Council (Hawkers) By-laws, 1981"
Semporna District Council,#N/A,"Semporna District Council (Hotel and Lodging) By-laws, 1981"
Semporna District Council,#N/A,Semporna District Council (Laundries) By-laws. 1981
Semporna District Council,#N/A,"Semporna District Council (Markets) By-laws, 1981"
Semporna District Council,#N/A,"Semporna District Council (Offensive Trades) By-laws, 1981"
Semporna District Council,#N/A,"Semporna District Council (Planting) By-laws, 1982"
Semporna District Council,#N/A,"Semporna District Council (Revocation) By-laws, 1981"
Semporna District Council,#N/A,"Semporna District Council (Slaughter-houses) By-laws, 1981"
Semporna District Council,#N/A,"Semporna District Council (Streets and Public Places) By-laws, 1981"
Semporna District Council,#N/A,"Semporna District Council (Townships) (Building) By-laws, 1959"
Semporna District Council,#N/A,Semporna District Council Instrument 1961
Semporna District Council,#N/A,Semporna District Council Slaughter-houses Charges 1981
Kunak District Council,#N/A,Kunak District Council Instrument 1994
Keningau District Council,#N/A,"Keningau District Council (Advertisements) By-laws, 1973"
Keningau District Council,#N/A,"Keningau District Council (Anti-Litter) By-laws, 1984"
Keningau District Council,#N/A,[Repealed by Uniform (Anti-litter) By-laws 2010]
Keningau District Council,#N/A,"Keningau District Council (Building) By-laws, 1983"
Keningau District Council,#N/A,"Keningau District Council (Cess on Cocoa) Order, 1984"
Keningau District Council,#N/A,"Keningau District Council (Conservancy and Hygiene) By-laws, 1984"
Keningau District Council,#N/A,"Keningau District Council (Control of Animals) By-laws, 1981"
Keningau District Council,#N/A,"Keningau District Council (Earthworks) By-laws, 1982"
Keningau District Council,#N/A,"Keningau District Council (Food and Eating Premises) By-laws, 1973"
Keningau District Council,#N/A,"Keningau District Council (Hairdressers) By-laws, 1973"
Keningau District Council,#N/A,(Repealed by Uniform (Beauty and Health Care Centre) By-laws 2014
Keningau District Council,#N/A,"Keningau District Council (Hawkers) By-laws, 1973"
Keningau District Council,#N/A,"Keningau District Council (Hotel and Lodging Houses) By-laws, 1969"
Keningau District Council,#N/A,"Keningau District Council (Laundries) By-laws, 1981"
Keningau District Council,#N/A,"Keningau District Council (Liquors) By-laws, 1969"
Keningau District Council,#N/A,"Keningau District Council (Markets) By-laws, 1981"
Keningau District Council,#N/A,"Keningau District Council (Massage Establishments) By-laws, 1984"
Keningau District Council,#N/A,"Keningau District Council (Offensive Trades) By-laws, 1973"
Keningau District Council,#N/A,"Keningau District Council (Planting) By-laws, 1982"
Keningau District Council,#N/A,"Keningau District Council (Registration and Control of Dogs) By-laws, 1965"
Keningau District Council,#N/A,"Keningau District Council (Slaughter-houses) By-laws, 1981"
Keningau District Council,#N/A,"Keningau District Council (Streets and Public Places) By-laws, 1981"
Keningau District Council,#N/A,"Keningau District Council (Tamus) By-laws, 1966"
Keningau District Council,#N/A,"Keningau District Council Instrument, 1961"
